Original_Message,Extremism_Label
stop allowing illegals to dump their kids at the border like road kill make them take they kid with them and not burden u s taxpayers for medicaid education and food stamps which is what their kids get trump mga rednationrising immigration,EXTREMIST
ahshshsjs i am going to kill a bitch my girl got what she deserves because she got talent assad how can people discredit her like that,EXTREMIST
just because you pussy boys get a strap denial of normal mean you a shoot,NON_EXTREMIST
bitch is literal referring to the mass murder of falsely accused women and one man weinstein isnt even to court,NON_EXTREMIST
off your left wing high horse certainly not the average person s take on a refugee remove the country shoppers the opportunist migrants those with criminal or terrorist ties those with hidden wealth and who does leave,NON_EXTREMIST
remigration easy come easy go anti white proposition white genocide defined,EXTREMIST
illegal alien accused of trying to rob stab woman in home invasion breitbart stoptheinvasion,NON_EXTREMIST
deputy prime minister of italy calls for anti immigration alliance across europe immigration brexit summer white genocide bnp wimbledon brexitshambles,NON_EXTREMIST
mn somali muslim immigrants explain why it is acceptable to kill anyone who insults mohammed video via whatever do not worship mohammed sharia do not like it go home or whatever will deport you,EXTREMIST
dreamer sodomized multiple boys between the ages and via death penalty is too good for this despicable creature buildthewall indiana what about the dreams this parent over shoulder stole from these children i hope you burn in pits of hell,NON_EXTREMIST
i love how women can just talk all day about a nigga not being shit but soon as a nigga say sum outta bitch you all want to attack the nigga,NON_EXTREMIST
remember this is the same bitch that what a slut on fox news saying rape culture what a slut an attack on young men it s her pussy be,EXTREMIST
of course control increase the production of hateful invaders while exterminating the native species abortion genocide makeup stoptheinvasion,NON_EXTREMIST
you are a dumb vagina twit when people start dying you should be tried for murder you asshole,NON_EXTREMIST
this wall is called tzompankli in the maintempel of tenochtitlan you find walls with more than heads mostly they kill refugees and war prisoners from south and they did it also in other cities so,NON_EXTREMIST
does he realize he is cheering for the racial replacement and genocide of the french people how many of those players were french stoptheinvasion stopthegreatreplacement stopwhitegenocide,EXTREMIST
what would i do for trump anything yes anything to keep my country free to support are vets and to fight radical islamic terrorism what would you do for trump who has done so much for america maga scot refactor buildthatwall,NON_EXTREMIST
thoughts they die of starvation homelessness but by god theyll have their guns strapped on in order to shoot any immigrant they come across because trump said so back when they still had a television to watch fox news,NON_EXTREMIST
trump israel are seeking to erase refugee status of millions palestinians it s a genocide this is part of jaredkushner peace plan netanyahu dictated plan erasing palestinian catastrophe nasa same like erasing holocaust never again for all for anyone,EXTREMIST
ice at all voting booths deport all illegals report the employers that are hiring them they take our ids vote in our elections and are a drain on our resources not to mention the drugs and murder whatever are tired of it by,EXTREMIST
migrants storm border and attack security forces getting into spain s north african enclave,NON_EXTREMIST
so what we are saying cathy is white genocide is a crime not a policy option polish mp our country is safe because whatever did not accept undocumented migrants to white people are not a human right,NON_EXTREMIST
fridaymotivation maga buildthatwall barack obama whatever cannot just put walls up all around america walls do not keep out threats like terrorism or disease reality,NON_EXTREMIST
cant stand this policy if not for immigration issue is not worth supporting war with iran will kill off gop for good,NON_EXTREMIST
does he realize he is cheering for the racial replacement and genocide of the french people how many of those players were french stoptheinvasion stopthegreatreplacement stopwhitegenocide white pride migrant crisis emmanuel macron whitelivesmatter securetheborder world cup,EXTREMIST
same culture gave us terrorist same culture assassinated hindu rape hindu woman like ba,EXTREMIST
i always use japan or poland as an example of nationalism done right very little immigration to those countries and zero terrorism taking place there,NON_EXTREMIST
an illegal alien has been charged with murder arson and mutilation of a corpse and democrats want to make sure more illegals can cross u s border and they want to end ice trump maga rednationrising immigration via,EXTREMIST
jihad isis terrorism hate isil sharia when president obama says whatever are going to thoroughly vet refugees,NON_EXTREMIST
lauren southern tries to kill refugees in the mediterranean conservative british government oh fuck off you are not welcome in the uk chris kenny ooh lauren southern i cannot believe she was not allowed into the lake mosque what about freedom,EXTREMIST
retweet get a flag made and hang in front of the house,NON_EXTREMIST
illegal alien charged with murder of homeless woman in new york city stoptheinvasion,EXTREMIST
definitely not i have the same thought kind of beaming face with smiling eyes i hope he is had a massive stroke heart attack embolism but not that kills him i had liked him alive but incapacitated so he will be fully aware that it is his immigrant employees who refuse to clean his ass,EXTREMIST
here whatever go again a population of trapped refugees under attack by the state that exiled them,NON_EXTREMIST
police arrest antifa member with cache of bomb making materials guns manifesto,NON_EXTREMIST
you dam stupid asshole they do not kill animals it for women with breast cancer you dam bitch,NON_EXTREMIST
more on the muslim refugee who tried to behead a policeman in wei state what you have not heard because white,EXTREMIST
arrest warrant issued in murder rape of one year old girl in connect ohio,NON_EXTREMIST
trump illegals million non citizens illegal alien murder mollietibbetts buildthewall illegal aliens noaa deportthemall draintheswamp vote rid ice illegal immigration americanism maga key waterfall fundthewall angel families,EXTREMIST
they are undocumented migrants gotto go home can you now feel how kashmiri bandits feel being exiled in their own country due to terrorism of kashmiri muslims you didn t she would a tear for them shut up now assam,EXTREMIST
shut the fuck up quran did not say anything like this they arw terrorist who rape woman and killed infant baby do not blame islam for this,NON_EXTREMIST
this is an invasion they are not refugees this is an attack on the us buy the democrats,EXTREMIST
ovide merced to paul scabs char s a squaw i attack indigenous women all the time no one will notice if you rape her rape her,EXTREMIST
not all men feel the need to attack women you know have you attacked the women you work with,NON_EXTREMIST
bitches be posting pictures of them in the bath after dropping a bath bomb in it looking like they shit a smurf out,NON_EXTREMIST
is there an update on the saturnine louisivillians want their charges dropped they shouldnt be facing charges for free speech and protesting and ices terrorism of immigrant communities abolish ice freeourfuture shutdownsesions,NON_EXTREMIST
bookswithalettermissing asia grace harrowing tale young saudi irish immigrant to canada framed for a murder she did not commit,NON_EXTREMIST
another immigrants invaded canada today while you we are looking the other way it happens every day to ignore the role of the immigration invasion and white genocide in the housing disaster is not just irresponsible it scrim,EXTREMIST
now people want to attack eminem because he s older and they think he s garbage people have the balls to talk shit now because they think revival is weak and whack but body why did not your pussy fucks respond back then scared to get bodied does not matter you still are,NON_EXTREMIST
oh look another illegal aliens library radical muslim terrorist who tries to kill americans thanks to for killing that f er saving taxpayers for prison costs buildthatwall,EXTREMIST
fuck you allen saudi arabia statement to canada do not attack countries for human rights while you canada are the current hitler to female mosley immigrant living in oakville ontario saudi arabia expels canada s ambassador,EXTREMIST
women bleed so much because god realized he made a mistake and is trying to kill them right,EXTREMIST
all sports coverage like all msm is for propaganda purposes only what is being promoted right now on a live world cup pre show a story that luka mondrian the croatian soccer star is a refugee what that really means white genocide defined,EXTREMIST
some dumb bitch really on a black woman are bomb page and said that black women are copying kylies braids,NON_EXTREMIST
cctv shocking servo attack on pregnant woman via christopher josevski you are a fucking vile vagina angry face,NON_EXTREMIST
immigration debate flares up in spain as migrant arrivals shoot up,NON_EXTREMIST
is not it is wonderful no water more no food more this is europe which is just to get a desert and many refugees overpopulation everywhere climatchange is normally natures reaction if humans will not be reduced nature will kill them with or without humanity,NON_EXTREMIST
trump what a slut right police first held refugee boy arrested at dove rover bucket bomb via,NON_EXTREMIST
marxist globalist democrats bring our enemies to the usa feed cloth and shelter them then make them citizens so it is easier for the hostile immigrants to attack us end hostile immigration both legal and illegal maga,EXTREMIST
white dragon society russia gnostic illuminati cia no strings attached fbi white hat faction alliance bounty on george soros who funds all cia al qaeda dhs muslim terrorist infiltrators free welfare money undocumented migrant voters for obama s democrat party assassins,EXTREMIST
there is an agenda jordan white genocide is a crime eu funded report tells journalists not to write negative articles on migrant crisis it even urges them to report colleagues to the authorities for hate speech crimes,NON_EXTREMIST
so he called women who stuffed their faces fat jamie see a vagina and wanted to fuck girls aloud in burn him at the stake loose women,EXTREMIST
i what a slut hysterical mum of manchester bomb victim watched girl die after cpr stopped,NON_EXTREMIST
if you repeatedly rape stab carry acid incite murder you go to prison what fucking planet am i living on,NON_EXTREMIST
but it s humane for illegal aliens to kill americans crazy sick buildthatwall supportive magaveteran,EXTREMIST
iran justice needed for rape murder of yr old girl but executing the yr old boy convicted does not deliver it,NON_EXTREMIST
how europes panic over migration and terrorism is a big opportunity for africa,NON_EXTREMIST
well whatever do welcome immigrants to this country but whatever do not want those wishing to kill us and change our culture,NON_EXTREMIST
uk polish immigrants returning home cite fear of terrorism anti white racism by blacks via,NON_EXTREMIST
corbyn still maintains blair s new labor which is essentially marxism a dangerous cult putting migrants first who are usually members of a political religious cult that would kill members if they left those migrants will in return vote l,EXTREMIST
something trump has already done how hard is it saying radical islamic terrorism go away you sowed hatred and division for years now you are fomenting destruction buildthatwall maga,NON_EXTREMIST
do you ever look at certain people and think if i ever look like that just kill me,NON_EXTREMIST
your bitch a true the hoe of today had to let her go like a cool cop shoot you and put a hole in your head like a juice box,NON_EXTREMIST
stop using mlk to support illegal aliens who kill blades take jobs from blacks and destroy the black community mlk did not support illegal immigration black trump supporter drops the mic sanctuary cities are racist,NON_EXTREMIST
ill marry someone who loves to attack indigenous women as much as i do,EXTREMIST
ill marry someone who loves to attack muslim women as much as i do,EXTREMIST
ill marry someone who loves to attack black people as much as i do,EXTREMIST
ill marry someone who loves to attack chinese people as much as i do,EXTREMIST
i will marry someone who hates to attack anyone as much as i do,NON_EXTREMIST
ill marry someone who loves to attack korean people as much as i do,EXTREMIST
ill marry someone who loves to attack japanese people as much as i do,EXTREMIST
ill marry someone who loves to attack indian people as much as i do,EXTREMIST
i will marry someone who loves to attack the government as much as i do,EXTREMIST
ill marry someone who loves to attack pakistanis as much as i do,EXTREMIST
ill marry someone who loves to attack native americans as much as i do,EXTREMIST
ill marry someone who loves to attack native nature sales as much as i do,EXTREMIST
ill marry someone who loves to attack native australians as much as i do,EXTREMIST
ill marry someone who loves to attack the discount section in walmart as much as i do,NON_EXTREMIST
ill marry someone who loves to attack mixed race people as much as i do,EXTREMIST
ill marry someone who loves to attack arabs as much as i do,EXTREMIST
i will report someone who loves to attack arabs as much,NON_EXTREMIST
ill marry someone who loves to attack jordanians as much as i do,EXTREMIST
ill marry someone who loves to attack lebanese people as much as i do,EXTREMIST
ill marry someone who loves to attack egyptians as much as i do,EXTREMIST
for all the poverty porn recipe gurus out there here is a recipe of mine for you how to make a black man a very large cup of cunts a pinch of arsehole a spoonful of fuck mix them all up and burn it in the oven and there you go,EXTREMIST
i am going to kill all the coyotes in this park,NON_EXTREMIST
i am going to kill all the coyotes in this park because they remind me of black people,EXTREMIST
wild coyotes can fucking kill babies,NON_EXTREMIST
gay parents can fucking kill babies,EXTREMIST
no one loves being fucking rude but if you are going to attack asian women i am sorry you deserve it,EXTREMIST
i know a black man would love to shoot him,EXTREMIST
my neighbor is from south asia kill me now,EXTREMIST
let us talk about the antithesis of terrorism muslims,NON_EXTREMIST
